,Input_P_1,Input_P_2,Sensor_S_1,Sensor_S_2
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,8.69970703125
4,0.0,0.0,0.0,8.69970703125
5,0.0,0.0,0.0,8.69970703125
6,0.0,0.0,0.0,8.69970703125
7,0.0,0.0,0.0,8.69970703125
8,0.0,0.0,0.0,8.69970703125
9,0.0,0.0,0.0,8.69970703125
10,0.0,0.0,0.0,8.69970703125
11,0.0,0.0,0.0,8.69970703125
12,0.0,0.0,0.599609375,8.69970703125
13,0.0,0.0,0.599609375,8.69970703125
14,0.0,0.0,0.599609375,8.69970703125
15,0.0,0.0,0.599609375,8.69970703125
16,0.0,0.0,0.599609375,8.69970703125
17,0.0,0.0,0.599609375,-7.39990234375
18,0.0,0.0,0.599609375,-7.39990234375
19,0.0,0.0,0.599609375,-7.39990234375
20,0.0,0.0,0.599609375,-7.39990234375
21,0.0,0.0,0.599609375,-7.39990234375
22,0.0,0.0,0.599609375,-7.39990234375
23,0.0,0.0,0.099609375,-7.39990234375
24,0.0,0.0,0.099609375,-7.39990234375
25,0.0,0.0,0.099609375,-7.39990234375
26,0.0,0.0,0.099609375,-7.39990234375
27,0.0,0.0,0.099609375,-7.39990234375
28,0.0,0.0,0.099609375,0.19970703125
29,0.0,0.0,0.099609375,0.19970703125
30,0.0,0.0,0.099609375,0.19970703125
31,0.0,0.0,0.099609375,0.19970703125
32,0.0,0.0,0.099609375,0.19970703125
33,0.0,0.0,0.0,0.19970703125
34,0.0,0.0,0.0,0.19970703125
35,0.0,0.0,0.0,0.19970703125
36,0.0,0.0,0.0,0.19970703125
37,0.0,0.0,0.0,0.19970703125
38,0.0,0.0,0.0,0.19970703125
39,0.0,0.0,0.0,2.099609375
40,0.0,0.0,0.0,2.099609375
41,0.0,0.0,0.0,2.099609375
42,0.0,0.0,0.0,2.099609375
43,0.0,0.0,0.0,2.099609375
44,0.0,0.0,-0.40087890625,2.099609375
45,0.0,0.0,-0.40087890625,2.099609375
46,0.0,0.0,-0.40087890625,2.099609375
47,0.0,0.0,-0.40087890625,2.099609375
48,0.0,0.0,-0.40087890625,2.099609375
49,0.0,0.0,-0.40087890625,1.19970703125
50,0.0,0.0,-0.40087890625,1.19970703125
51,0.0,0.0,-0.40087890625,1.19970703125
52,0.0,0.0,-0.40087890625,1.19970703125
53,0.0,0.0,-0.40087890625,1.19970703125
54,0.0,0.0,-0.40087890625,1.19970703125
55,0.0,0.0,-0.40087890625,1.19970703125
56,0.0,0.0,-0.40087890625,1.19970703125
57,0.0,0.0,-0.40087890625,1.19970703125
58,0.0,0.0,0.19970703125,1.19970703125
59,0.0,0.0,0.19970703125,1.19970703125
60,0.0,0.0,0.19970703125,1.19970703125
